feature,missing_count,missing_rate,unique_non_missing,pearson_target_correlation,absolute_correlation,selection_decision
APP_EXT_2_3_MEAN,192,0.0007804624239862118,234594,-0.21089193720295457,0.21089193720295457,Keep until global feature-selection comparison
APP_EXT_MEAN_SQUARED,144,0.0005853468179896589,241053,-0.20402101404624332,0.20402101404624332,Keep until global feature-selection comparison
APP_EXT_2_3_PRODUCT,49237,0.20014389775942246,195594,-0.199677765706148,0.199677765706148,Keep until global feature-selection comparison
APP_EXT_2_3_MAX,192,0.0007804624239862118,77505,-0.19074165143215385,0.19074165143215385,Keep until global feature-selection comparison
APP_EXT_2_3_MIN,192,0.0007804624239862118,87804,-0.18552479278401318,0.18552479278401318,Keep until global feature-selection comparison
APP_AGE_YEARS,0,0.0,17411,-0.07926959616978183,0.07926959616978183,Keep until global feature-selection comparison
APP_EMPLOYMENT_YEARS,44283,0.1800063412571949,12059,-0.07587425709640559,0.07587425709640559,Keep until global feature-selection comparison
APP_EMPLOYED_AGE_RATIO,44283,0.1800063412571949,199947,-0.06893484425264336,0.06893484425264336,Keep until global feature-selection comparison
APP_GOODS_CREDIT_RATIO,220,0.0008942798608175344,2852,-0.06496808466713368,0.06496808466713368,Keep until global feature-selection comparison
APP_REGION_RATING_MEAN,0,0.0,5,0.05977650792732956,0.05977650792732956,Keep until global feature-selection comparison
APP_PHONE_CHANGE_YEARS,1,4.0649084582615195e-06,3739,-0.05550252594142837,0.05550252594142837,Keep until global feature-selection comparison
APP_EXT_2_3_GAP,49237,0.20014389775942246,195594,0.05450829934812263,0.05450829934812263,Keep until global feature-selection comparison
APP_ID_PUBLISH_YEARS,0,0.0,6139,-0.0501954849452726,0.0501954849452726,Keep until global feature-selection comparison
APP_ADDRESS_MISMATCH_COUNT,0,0.0,5,0.048420826720992516,0.048420826720992516,Keep until global feature-selection comparison
APP_REGISTRATION_YEARS,0,0.0,15414,-0.04309044467504557,0.04309044467504557,Keep until global feature-selection comparison
APP_SOCIAL_DEF_TOTAL,798,0.0032437969496926927,15,0.03436070106468794,0.03436070106468794,Keep until global feature-selection comparison
APP_CREDIT_GOODS_DIFFERENCE,220,0.0008942798608175344,2722,0.03427487197825051,0.03427487197825051,Keep until global feature-selection comparison
APP_CREDIT_ANNUITY_RATIO,10,4.06490845826152e-05,35703,-0.03184937666099052,0.03184937666099052,Keep until global feature-selection comparison
APP_SOCIAL_DEFAULT_RATIO,798,0.0032437969496926927,129,0.031055634582930647,0.031055634582930647,Keep until global feature-selection comparison
APP_CONTACT_COUNT,0,0.0,6,0.02185169343623369,0.02185169343623369,Keep until global feature-selection comparison
APP_CHILDREN_FAMILY_RATIO,1,4.0649084582615195e-06,17,0.0209888430583545,0.0209888430583545,Keep until global feature-selection comparison
APP_HAS_CHILDREN,0,0.0,2,0.0204517501063509,0.0204517501063509,Keep until global feature-selection comparison
APP_HAS_RECENT_ENQUIRY,0,0.0,2,-0.020356008998419387,0.020356008998419387,Keep until global feature-selection comparison
APP_DOCUMENT_COUNT,0,0.0,3,0.01709524699317047,0.01709524699317047,Keep until global feature-selection comparison
APP_BUSINESS_HOURS_APPLICATION,0,0.0,2,-0.01491877539250489,0.01491877539250489,Keep until global feature-selection comparison
APP_ANNUITY_INCOME_RATIO,10,4.06490845826152e-05,77941,0.012469138828726389,0.012469138828726389,Keep until global feature-selection comparison
APP_RECENT_ENQUIRY_TOTAL,33196,0.13493870118044943,27,-0.010849975342805468,0.010849975342805468,Keep until global feature-selection comparison
APP_REGISTRATION_AGE_RATIO,0,0.0,243757,-0.010209809116621655,0.010209809116621655,Keep until global feature-selection comparison
APP_ID_AGE_RATIO,0,0.0,238029,-0.009612972784421416,0.009612972784421416,Keep until global feature-selection comparison
APP_SOCIAL_OBS_TOTAL,798,0.0032437969496926927,60,0.009101355210578782,0.009101355210578782,Keep until global feature-selection comparison
APP_CREDIT_ENQUIRY_TOTAL,33196,0.13493870118044943,30,0.009006228146121098,0.009006228146121098,Keep until global feature-selection comparison
APP_CREDIT_INCOME_RATIO,0,0.0,42688,-0.008965811060777323,0.008965811060777323,Keep until global feature-selection comparison
APP_INCOME_PER_PERSON,1,4.0649084582615195e-06,2641,-0.004311122275778548,0.004311122275778548,Keep until global feature-selection comparison
APP_WEEKEND_APPLICATION,0,0.0,2,-0.002106763680491247,0.002106763680491247,Keep until global feature-selection comparison
