feature,data_type,missing_count,missing_rate,unique_non_missing,dominant_share,target_association,association_method,decision,reason
FLOORSMAX_AVG,float64,122513,0.4980041299469936,381,0.4980041299469936,-0.041370947776681155,Pearson correlation,Keep,Kept for later feature creation and modelling
FLOORSMAX_MODE,float64,122513,0.4980041299469936,25,0.4980041299469936,-0.04049672414033709,Pearson correlation,Keep,Kept for later feature creation and modelling
FLOORSMAX_MEDI,float64,122513,0.4980041299469936,49,0.4980041299469936,-0.041116826094621486,Pearson correlation,Keep,Kept for later feature creation and modelling
YEARS_BEGINEXPLUATATION_AVG,float64,120124,0.4882930636402068,272,0.4882930636402068,-0.00950361319931086,Pearson correlation,Keep,Kept for later feature creation and modelling
YEARS_BEGINEXPLUATATION_MODE,float64,120124,0.4882930636402068,215,0.4882930636402068,-0.008295356018065749,Pearson correlation,Keep,Kept for later feature creation and modelling
YEARS_BEGINEXPLUATATION_MEDI,float64,120124,0.4882930636402068,239,0.4882930636402068,-0.009966191889583653,Pearson correlation,Keep,Kept for later feature creation and modelling
TOTALAREA_MODE,float64,118847,0.48310217553900686,5000,0.48310217553900686,-0.031244970443690786,Pearson correlation,Keep,Kept for later feature creation and modelling
EMERGENCYSTATE_MODE,str,116681,0.4742975838184124,2,0.5180969724561802,,Not calculated,Keep,Kept for later feature creation and modelling
OCCUPATION_TYPE,str,77103,0.31341663685733795,18,0.31341663685733795,,Not calculated,Keep,Kept for later feature creation and modelling
EXT_SOURCE_3,float64,48877,0.1986805307144483,805,0.1986805307144483,-0.17936819691631123,Pearson correlation,Keep,Kept for later feature creation and modelling
DAYS_EMPLOYED,float64,44283,0.1800063412571949,12059,0.1800063412571949,0.07587425709640551,Pearson correlation,Keep,Kept for later feature creation and modelling
AMT_REQ_CREDIT_BUREAU_HOUR,float64,33196,0.13493870118044943,5,0.859846021267601,0.0013542812765993501,Pearson correlation,Keep,Kept for later feature creation and modelling
AMT_REQ_CREDIT_BUREAU_DAY,float64,33196,0.13493870118044943,9,0.8602972261064681,0.0023873227409289166,Pearson correlation,Keep,Kept for later feature creation and modelling
AMT_REQ_CREDIT_BUREAU_WEEK,float64,33196,0.13493870118044943,9,0.8373792722187896,-0.000818869697301212,Pearson correlation,Keep,Kept for later feature creation and modelling
AMT_REQ_CREDIT_BUREAU_MON,float64,33196,0.13493870118044943,24,0.7226756853435661,-0.012809417703247894,Pearson correlation,Keep,Kept for later feature creation and modelling
AMT_REQ_CREDIT_BUREAU_QRT,float64,33196,0.13493870118044943,11,0.7007251796689539,-0.0025840066933562615,Pearson correlation,Keep,Kept for later feature creation and modelling
AMT_REQ_CREDIT_BUREAU_YEAR,float64,33196,0.13493870118044943,25,0.23359809437091478,0.018393242167652552,Pearson correlation,Keep,Kept for later feature creation and modelling
NAME_TYPE_SUITE,str,1042,0.004235634613508504,7,0.8079899840655589,,Not calculated,Keep,Kept for later feature creation and modelling
OBS_30_CNT_SOCIAL_CIRCLE,float64,798,0.0032437969496926927,33,0.5318444928620207,0.009158071762484437,Pearson correlation,Keep,Kept for later feature creation and modelling
DEF_30_CNT_SOCIAL_CIRCLE,float64,798,0.0032437969496926927,10,0.881869695294462,0.03367154042331497,Pearson correlation,Keep,Kept for later feature creation and modelling
OBS_60_CNT_SOCIAL_CIRCLE,float64,798,0.0032437969496926927,33,0.5342590484862281,0.009037279029557152,Pearson correlation,Keep,Kept for later feature creation and modelling
DEF_60_CNT_SOCIAL_CIRCLE,float64,798,0.0032437969496926927,9,0.912490650710546,0.032543388241792925,Pearson correlation,Keep,Kept for later feature creation and modelling
EXT_SOURCE_2,float64,552,0.002243829468960359,108842,0.002414555624207343,-0.15959101388082503,Pearson correlation,Keep,Kept for later feature creation and modelling
AMT_GOODS_PRICE,float64,220,0.0008942798608175344,913,0.0849850411368736,-0.0399061760245743,Pearson correlation,Keep,Kept for later feature creation and modelling
EXT_SOURCE_MEAN,float64,144,0.0005853468179896589,241053,0.0005853468179896589,-0.22202095427194588,Pearson correlation,Keep,Kept for later feature creation and modelling
AMT_ANNUITY,float64,10,4.06490845826152e-05,13075,0.020495268446554582,-0.013321286631835384,Pearson correlation,Keep,Kept for later feature creation and modelling
CNT_FAM_MEMBERS,float64,1,4.0649084582615195e-06,17,0.5152677961692302,0.0089305577620747,Pearson correlation,Keep,Kept for later feature creation and modelling
DAYS_LAST_PHONE_CHANGE,float64,1,4.0649084582615195e-06,3739,0.12254073038275178,0.05550252594142843,Pearson correlation,Keep,Kept for later feature creation and modelling
NAME_CONTRACT_TYPE,str,0,0.0,2,0.9049868296965953,,Not calculated,Keep,Kept for later feature creation and modelling
FLAG_OWN_CAR,str,0,0.0,2,0.6598728496634256,,Not calculated,Keep,Kept for later feature creation and modelling
FLAG_OWN_REALTY,str,0,0.0,2,0.692627882020097,,Not calculated,Keep,Kept for later feature creation and modelling
CNT_CHILDREN,int64,0,0.0,15,0.700493479886833,0.01885393328764945,Pearson correlation,Keep,Kept for later feature creation and modelling
AMT_INCOME_TOTAL,float64,0,0.0,2171,0.11572387889824721,-0.0017103720804606901,Pearson correlation,Keep,Kept for later feature creation and modelling
AMT_CREDIT,float64,0,0.0,5269,0.03178758414360509,-0.030590532956507595,Pearson correlation,Keep,Kept for later feature creation and modelling
