feature,missing_count,missing_rate,unique_non_missing,pearson_target_correlation,absolute_correlation,decision,reason
BUREAU_DEBT_ABOVE_CREDIT_COUNT,35200,0.1430847777308055,8,0.09362805678454734,0.09362805678454734,Keep,Retain for global cross-validated feature selection
BUREAU_RECENT_CREDIT_COUNT,35200,0.1430847777308055,31,0.09134922643529307,0.09134922643529307,Keep,Retain for global cross-validated feature selection
BUREAU_TOTAL_DEBT_CREDIT_RATIO,36071,0.14662531299795128,147978,0.09110397115213249,0.09110397115213249,Keep,Retain for global cross-validated feature selection
BUREAU_DAYS_CREDIT_MEAN,35200,0.1430847777308055,57673,0.09015959208244749,0.09015959208244749,Keep,Retain for global cross-validated feature selection
BUREAU_CREDIT_AGE_YEARS_MEAN,35200,0.1430847777308055,68519,-0.09015959208244742,0.09015959208244742,Keep,Retain for global cross-validated feature selection
BUREAU_CLOSED_RATE,35200,0.1430847777308055,285,-0.07921992521349974,0.07921992521349974,Keep,Retain for global cross-validated feature selection
BUREAU_ACTIVE_RATE,35200,0.1430847777308055,279,0.07743968712712157,0.07743968712712157,Keep,Retain for global cross-validated feature selection
BUREAU_DAYS_CREDIT_MIN,35200,0.1430847777308055,2922,0.07579733171840632,0.07579733171840632,Keep,Retain for global cross-validated feature selection
BUREAU_ACTIVE_COUNT,35200,0.1430847777308055,23,0.06594073595671651,0.06594073595671651,Keep,Retain for global cross-validated feature selection
BUREAU_DAYS_CREDIT_MAX,35200,0.1430847777308055,2922,0.04986049009167219,0.04986049009167219,Keep,Retain for global cross-validated feature selection
BUREAU_CREDIT_TYPE_RATE_MICROLOAN,35200,0.1430847777308055,179,0.04444009239691171,0.04444009239691171,Keep,Retain for global cross-validated feature selection
BUREAU_OVERDUE_ACCOUNT_COUNT,35200,0.1430847777308055,8,0.04296344757378131,0.04296344757378131,Keep,Retain for global cross-validated feature selection
BUREAU_RECORD_MISSING_RATE_MEAN,35200,0.1430847777308055,655,0.04194634398395851,0.04194634398395851,Keep,Retain for global cross-validated feature selection
BUREAU_DELINQUENT_RATE_MEAN,35200,0.1430847777308055,12122,0.036720610186434,0.036720610186434,Keep,Retain for global cross-validated feature selection
BUREAU_CREDIT_TYPE_RATE_CREDIT_CARD,35200,0.1430847777308055,281,0.03496156660314672,0.03496156660314672,Keep,Retain for global cross-validated feature selection
BUREAU_RECENT_12M_DELINQUENT_RATE_MAX,35200,0.1430847777308055,59,0.03375701798194598,0.03375701798194598,Keep,Retain for global cross-validated feature selection
BUREAU_OVERDUE_ACCOUNT_RATE,35200,0.1430847777308055,62,0.031760548206672116,0.031760548206672116,Keep,Retain for global cross-validated feature selection
BUREAU_CLOSED_COUNT,35200,0.1430847777308055,53,-0.030700632365108654,0.030700632365108654,Keep,Retain for global cross-validated feature selection
BUREAU_CREDIT_TYPE_RATE_CONSUMER_CREDIT,35200,0.1430847777308055,306,-0.02667241528202641,0.02667241528202641,Keep,Retain for global cross-validated feature selection
BUREAU_RECENT_12M_DELINQUENT_COUNT,35200,0.1430847777308055,58,0.02601956711168546,0.02601956711168546,Keep,Retain for global cross-validated feature selection
BUREAU_MAX_DELINQUENCY_LEVEL,35200,0.1430847777308055,6,0.024467656565096238,0.024467656565096238,Keep,Retain for global cross-validated feature selection
BUREAU_CREDIT_TYPE_RATE_MORTGAGE,35200,0.1430847777308055,73,-0.020676968320517804,0.020676968320517804,Keep,Retain for global cross-validated feature selection
BUREAU_CREDIT_TYPE_RATE_CAR_LOAN,35200,0.1430847777308055,96,-0.019844998611651735,0.019844998611651735,Keep,Retain for global cross-validated feature selection
BUREAU_CREDIT_SUM_MAX,35201,0.14308884263926377,54807,-0.018903273123796156,0.018903273123796156,Keep,Retain for global cross-validated feature selection
BUREAU_CREDIT_SUM_MEAN,35201,0.14308884263926377,170062,-0.018436174347015714,0.018436174347015714,Keep,Retain for global cross-validated feature selection
BUREAU_DELINQUENT_MONTH_COUNT,35200,0.1430847777308055,150,0.016766325605809294,0.016766325605809294,Keep,Retain for global cross-validated feature selection
BUREAU_MONTH_RECORD_COUNT,35200,0.1430847777308055,1066,-0.013694297342549075,0.013694297342549075,Keep,Retain for global cross-validated feature selection
BUREAU_CREDIT_SUM_TOTAL,35200,0.1430847777308055,167244,-0.012957247643078765,0.012957247643078765,Keep,Retain for global cross-validated feature selection
BUREAU_BALANCE_HISTORY_ACCOUNT_RATE,35200,0.1430847777308055,45,0.011359820913227391,0.011359820913227391,Keep,Retain for global cross-validated feature selection
BUREAU_BALANCE_HISTORY_ACCOUNT_COUNT,35200,0.1430847777308055,54,0.010716463769768154,0.010716463769768154,Keep,Retain for global cross-validated feature selection
BUREAU_LIMIT_TOTAL,35200,0.1430847777308055,29994,-0.010246309409974851,0.010246309409974851,Keep,Retain for global cross-validated feature selection
BUREAU_OVERDUE_TOTAL,35200,0.1430847777308055,1027,0.00995648823067486,0.00995648823067486,Keep,Retain for global cross-validated feature selection
BUREAU_OVERDUE_CREDIT_RATIO_MAX,36071,0.14662531299795128,2211,0.009784713424095535,0.009784713424095535,Keep,Retain for global cross-validated feature selection
BUREAU_OVERDUE_MAX,35200,0.1430847777308055,1016,0.0076264258525619195,0.0076264258525619195,Keep,Retain for global cross-validated feature selection
BUREAU_DEBT_TOTAL,35200,0.1430847777308055,127734,0.0070373143730608845,0.0070373143730608845,Keep,Retain for global cross-validated feature selection
BUREAU_UNKNOWN_STATUS_RATE_MEAN,35200,0.1430847777308055,34174,0.006564881479772891,0.006564881479772891,Keep,Retain for global cross-validated feature selection
