feature,missing_count,missing_rate,unique_non_missing,pearson_target_correlation,absolute_correlation,decision,reason
CC_RECENT_12M_UTILIZATION_MEAN,0,0.0,30102,0.07420834065638872,0.07420834065638872,Keep,Retain for global cross-validated feature selection
CC_RECENT_12M_UTILIZATION_MAX,0,0.0,29657,0.07047742668437997,0.07047742668437997,Keep,Retain for global cross-validated feature selection
CC_UTILIZATION_MEAN,0,0.0,47299,0.06249393635401517,0.06249393635401517,Keep,Retain for global cross-validated feature selection
CC_RECENT_12M_BALANCE_MEAN,0,0.0,30331,0.04790150837165742,0.04790150837165742,Keep,Retain for global cross-validated feature selection
CC_BALANCE_MEAN,0,0.0,47559,0.047803650608252445,0.047803650608252445,Keep,Retain for global cross-validated feature selection
CC_UTILIZATION_MAX,0,0.0,45200,0.042523373171763,0.042523373171763,Keep,Retain for global cross-validated feature selection
CC_MINIMUM_PAYMENT_MEAN,0,0.0,45925,0.040822570137289405,0.040822570137289405,Keep,Retain for global cross-validated feature selection
CC_PAYMENT_BELOW_MINIMUM_RATE,0,0.0,768,0.03882189518198421,0.03882189518198421,Keep,Retain for global cross-validated feature selection
CC_BALANCE_MAX,0,0.0,45597,0.03745672496080164,0.03745672496080164,Keep,Retain for global cross-validated feature selection
CC_DRAWING_MEAN,0,0.0,39684,0.035508560664913716,0.035508560664913716,Keep,Retain for global cross-validated feature selection
CC_DRAWING_INFO_AVAILABLE_RATE,0,0.0,843,0.03345264266085236,0.03345264266085236,Keep,Retain for global cross-validated feature selection
CC_PAYMENT_INFO_AVAILABLE_RATE,0,0.0,564,0.028002787343803022,0.028002787343803022,Keep,Retain for global cross-validated feature selection
CC_RECORD_MISSING_RATE_MEAN,0,0.0,3155,-0.02465970104685955,0.02465970104685955,Keep,Retain for global cross-validated feature selection
CC_ATM_DRAWING_TOTAL,0,0.0,4580,0.024235537271774688,0.024235537271774688,Keep,Retain for global cross-validated feature selection
CC_PAYMENT_CURRENT_MEAN,0,0.0,45626,0.019408300759597208,0.019408300759597208,Keep,Retain for global cross-validated feature selection
CC_DRAWING_TOTAL,0,0.0,32778,0.01768672876620891,0.01768672876620891,Keep,Retain for global cross-validated feature selection
CC_RECENT_12M_PAYMENT_TOTAL,0,0.0,27917,0.017252870791899907,0.017252870791899907,Keep,Retain for global cross-validated feature selection
CC_NEGATIVE_RECEIVABLE_COUNT,0,0.0,10,-0.016730027012522034,0.016730027012522034,Keep,Retain for global cross-validated feature selection
CC_OLDEST_MONTH,0,0.0,97,0.016502511018622996,0.016502511018622996,Keep,Retain for global cross-validated feature selection
CC_MONTH_COUNT,0,0.0,126,-0.01639402251464038,0.01639402251464038,Keep,Retain for global cross-validated feature selection
CC_ACTIVE_MONTH_RATE,0,0.0,941,0.013690926928704359,0.013690926928704359,Keep,Retain for global cross-validated feature selection
CC_ACCOUNT_COUNT,0,0.0,5,0.012560278820144929,0.012560278820144929,Keep,Retain for global cross-validated feature selection
CC_HISTORY_AVAILABLE,0,0.0,2,0.012315439402111075,0.012315439402111075,Keep,Retain for global cross-validated feature selection
CC_RECENT_12M_COUNT,0,0.0,27,0.00849840195572902,0.00849840195572902,Keep,Retain for global cross-validated feature selection
CC_RECENT_12M_DELINQUENT_RATE,0,0.0,50,0.0061438334379484635,0.0061438334379484635,Keep,Retain for global cross-validated feature selection
CC_RECENT_12M_DELINQUENT_COUNT,0,0.0,13,0.0057648766411426845,0.0057648766411426845,Keep,Retain for global cross-validated feature selection
CC_CREDIT_LIMIT_MEAN,0,0.0,9910,0.005635786299908056,0.005635786299908056,Keep,Retain for global cross-validated feature selection
CC_CREDIT_LIMIT_MAX,0,0.0,54,0.005248488776370285,0.005248488776370285,Keep,Retain for global cross-validated feature selection
CC_LATEST_MONTH,0,0.0,6,-0.004829305163599436,0.004829305163599436,Keep,Retain for global cross-validated feature selection
CC_NEGATIVE_BALANCE_COUNT,0,0.0,9,-0.004741278212724413,0.004741278212724413,Keep,Retain for global cross-validated feature selection
CC_DPD_DEF_MAX,0,0.0,50,0.0045338964836898225,0.0045338964836898225,Keep,Retain for global cross-validated feature selection
CC_DELINQUENT_MONTH_COUNT,0,0.0,90,-0.004503127547592332,0.004503127547592332,Keep,Retain for global cross-validated feature selection
CC_PAYMENT_TOTAL,0,0.0,42897,0.003435424817669327,0.003435424817669327,Keep,Retain for global cross-validated feature selection
