feature,data_type,missing_count,missing_rate,unique_non_missing,pearson_target_correlation,absolute_correlation,decision,reason
EXT_SOURCE_MEAN,float64,144,0.0005853468179896589,241053,-0.22202095427194588,0.22202095427194588,Keep,Retain for cross-validated model-based feature selection
APP_EXT_2_3_MEAN,float64,192,0.0007804624239862118,234594,-0.21089193720295457,0.21089193720295457,Keep,Retain for cross-validated model-based feature selection
APP_EXT_MEAN_SQUARED,float64,144,0.0005853468179896589,241053,-0.20402101404624332,0.20402101404624332,Keep,Retain for cross-validated model-based feature selection
APP_EXT_2_3_PRODUCT,float64,49237,0.20014389775942246,195594,-0.199677765706148,0.199677765706148,Keep,Retain for cross-validated model-based feature selection
APP_EXT_2_3_MAX,float64,192,0.0007804624239862118,77505,-0.19074165143215385,0.19074165143215385,Keep,Retain for cross-validated model-based feature selection
APP_EXT_2_3_MIN,float64,192,0.0007804624239862118,87804,-0.18552479278401318,0.18552479278401318,Keep,Retain for cross-validated model-based feature selection
EXT_SOURCE_3,float64,48877,0.1986805307144483,805,-0.17936819691631123,0.17936819691631123,Keep,Retain for cross-validated model-based feature selection
EXT_SOURCE_2,float64,552,0.002243829468960359,108842,-0.15959101388082503,0.15959101388082503,Keep,Retain for cross-validated model-based feature selection
BUREAU_DAYS_CREDIT_MEAN,float64,0,0.0,57673,0.08457941409309673,0.08457941409309673,Keep,Retain for cross-validated model-based feature selection
BUREAU_CREDIT_AGE_YEARS_MEAN,float64,0,0.0,68519,-0.08457941409309667,0.08457941409309667,Keep,Retain for cross-validated model-based feature selection
BUREAU_DEBT_ABOVE_CREDIT_COUNT,float64,0,0.0,8,0.08115164415846737,0.08115164415846737,Keep,Retain for cross-validated model-based feature selection
INST_RECENT_12M_LATE_RATE,float32,59471,0.24174417092127085,549,0.0803110781663055,0.0803110781663055,Keep,Retain for cross-validated model-based feature selection
APP_AGE_YEARS,float64,0,0.0,17411,-0.07926959616978183,0.07926959616978183,Keep,Retain for cross-validated model-based feature selection
DAYS_BIRTH,int64,0,0.0,17411,0.07926959616978135,0.07926959616978135,Keep,Retain for cross-validated model-based feature selection
PREV_REFUSED_RATE,float64,0,0.0,368,0.07734697765647239,0.07734697765647239,Keep,Retain for cross-validated model-based feature selection
INST_RECENT_12M_LATE_COUNT,float32,59448,0.24165067802673085,41,0.077023105374982,0.077023105374982,Keep,Retain for cross-validated model-based feature selection
BUREAU_CLOSED_RATE,float64,0,0.0,285,-0.07669620733907119,0.07669620733907119,Keep,Retain for cross-validated model-based feature selection
APP_EMPLOYMENT_YEARS,float64,44283,0.1800063412571949,12059,-0.07587425709640559,0.07587425709640559,Keep,Retain for cross-validated model-based feature selection
DAYS_EMPLOYED,float64,44283,0.1800063412571949,12059,0.07587425709640551,0.07587425709640551,Keep,Retain for cross-validated model-based feature selection
CC_RECENT_12M_UTILIZATION_MEAN,float64,0,0.0,30102,0.07420834065638872,0.07420834065638872,Keep,Retain for cross-validated model-based feature selection
BUREAU_DAYS_CREDIT_MIN,float64,0,0.0,2922,0.07358265544817044,0.07358265544817044,Keep,Retain for cross-validated model-based feature selection
INST_LATE_RATE,float32,7,2.845435920783064e-05,4362,0.07187744809924367,0.07187744809924367,Keep,Retain for cross-validated model-based feature selection
INST_RECENT_12M_DAYS_LATE_MAX,float64,59471,0.24174417092127085,181,0.0717170516500944,0.0717170516500944,Keep,Retain for cross-validated model-based feature selection
BUREAU_RECENT_CREDIT_COUNT,float64,0,0.0,31,0.07082816588740343,0.07082816588740343,Keep,Retain for cross-validated model-based feature selection
CC_RECENT_12M_UTILIZATION_MAX,float64,0,0.0,29657,0.07047742668437997,0.07047742668437997,Keep,Retain for cross-validated model-based feature selection
APP_EMPLOYED_AGE_RATIO,float64,44283,0.1800063412571949,199947,-0.06893484425264336,0.06893484425264336,Keep,Retain for cross-validated model-based feature selection
BUREAU_TOTAL_DEBT_CREDIT_RATIO,float64,871,0.003540535267145784,147978,0.06684438031784096,0.06684438031784096,Keep,Retain for cross-validated model-based feature selection
APP_GOODS_CREDIT_RATIO,float64,220,0.0008942798608175344,2852,-0.06496808466713368,0.06496808466713368,Keep,Retain for cross-validated model-based feature selection
PREV_REFUSED_COUNT,float64,0,0.0,45,0.063541257714308,0.063541257714308,Keep,Retain for cross-validated model-based feature selection
CC_UTILIZATION_MEAN,float64,0,0.0,47299,0.06249393635401517,0.06249393635401517,Keep,Retain for cross-validated model-based feature selection
INST_SPLIT_PAYMENT_RATE,float64,0,0.0,3267,0.06094315439845927,0.06094315439845927,Keep,Retain for cross-validated model-based feature selection
REGION_RATING_CLIENT_W_CITY,int64,0,0.0,3,0.05987916166433224,0.05987916166433224,Keep,Retain for cross-validated model-based feature selection
APP_REGION_RATING_MEAN,float64,0,0.0,5,0.05977650792732956,0.05977650792732956,Keep,Retain for cross-validated model-based feature selection
REGION_RATING_CLIENT,int64,0,0.0,3,0.05821782717912109,0.05821782717912109,Keep,Retain for cross-validated model-based feature selection
DAYS_LAST_PHONE_CHANGE,float64,1,4.0649084582615195e-06,3739,0.05550252594142843,0.05550252594142843,Keep,Retain for cross-validated model-based feature selection
APP_PHONE_CHANGE_YEARS,float64,1,4.0649084582615195e-06,3739,-0.05550252594142837,0.05550252594142837,Keep,Retain for cross-validated model-based feature selection
APP_EXT_2_3_GAP,float64,49237,0.20014389775942246,195594,0.05450829934812263,0.05450829934812263,Keep,Retain for cross-validated model-based feature selection
BUREAU_DAYS_CREDIT_MAX,float64,0,0.0,2922,0.05297133536861663,0.05297133536861663,Keep,Retain for cross-validated model-based feature selection
REG_CITY_NOT_WORK_CITY,int64,0,0.0,2,0.05097783101407823,0.05097783101407823,Keep,Retain for cross-validated model-based feature selection
APP_ID_PUBLISH_YEARS,float64,0,0.0,6139,-0.0501954849452726,0.0501954849452726,Keep,Retain for cross-validated model-based feature selection
DAYS_ID_PUBLISH,int64,0,0.0,6139,0.050195484945272574,0.050195484945272574,Keep,Retain for cross-validated model-based feature selection
BUREAU_ACTIVE_RATE,float64,0,0.0,279,0.048514226415410394,0.048514226415410394,Keep,Retain for cross-validated model-based feature selection
APP_ADDRESS_MISMATCH_COUNT,int64,0,0.0,5,0.048420826720992516,0.048420826720992516,Keep,Retain for cross-validated model-based feature selection
CC_RECENT_12M_BALANCE_MEAN,float64,0,0.0,30331,0.04790150837165742,0.04790150837165742,Keep,Retain for cross-validated model-based feature selection
CC_BALANCE_MEAN,float64,0,0.0,47559,0.047803650608252445,0.047803650608252445,Keep,Retain for cross-validated model-based feature selection
PREV_RECORD_MISSING_RATE_MEAN,float64,0,0.0,1373,0.04768153368011958,0.04768153368011958,Keep,Retain for cross-validated model-based feature selection
DAYS_EMPLOYED_ANOMALY,int8,0,0.0,2,-0.046797775119581,0.046797775119581,Keep,Retain for cross-validated model-based feature selection
FLAG_EMP_PHONE,int64,0,0.0,2,0.046788890950214324,0.046788890950214324,Keep,Retain for cross-validated model-based feature selection
APPLICATION_MISSING_RATE,float64,0,0.0,20,0.046421295163162395,0.046421295163162395,Keep,Retain for cross-validated model-based feature selection
APPLICATION_MISSING_COUNT,int16,0,0.0,20,0.04642129516316233,0.04642129516316233,Keep,Retain for cross-validated model-based feature selection
POS_OLDEST_MONTH,float64,0,0.0,97,0.046071110352892,0.046071110352892,Keep,Retain for cross-validated model-based feature selection
FLAG_DOCUMENT_3,int64,0,0.0,2,0.045372677803442264,0.045372677803442264,Keep,Retain for cross-validated model-based feature selection
REG_CITY_NOT_LIVE_CITY,int64,0,0.0,2,0.0435520176581596,0.0435520176581596,Keep,Retain for cross-validated model-based feature selection
PREV_YIELD_GROUP_RATE_XNA,float64,0,0.0,384,0.04344524101018884,0.04344524101018884,Keep,Retain for cross-validated model-based feature selection
PREV_DAYS_DECISION_MIN,float64,0,0.0,2922,0.043192578474167055,0.043192578474167055,Keep,Retain for cross-validated model-based feature selection
PREV_CREDIT_APPLICATION_RATIO_MAX,float64,822,0.0033413547526909694,86036,0.043184851110788895,0.043184851110788895,Keep,Retain for cross-validated model-based feature selection
DAYS_REGISTRATION,float64,0,0.0,15414,0.0430904446750457,0.0430904446750457,Keep,Retain for cross-validated model-based feature selection
APP_REGISTRATION_YEARS,float64,0,0.0,15414,-0.04309044467504557,0.04309044467504557,Keep,Retain for cross-validated model-based feature selection
CC_UTILIZATION_MAX,float64,0,0.0,45200,0.042523373171763,0.042523373171763,Keep,Retain for cross-validated model-based feature selection
BUREAU_ACTIVE_COUNT,float64,0,0.0,23,0.042353559499885535,0.042353559499885535,Keep,Retain for cross-validated model-based feature selection
PREV_CREDIT_APPLICATION_RATIO_MEAN,float64,822,0.0033413547526909694,195864,0.04229213488497688,0.04229213488497688,Keep,Retain for cross-validated model-based feature selection
PREV_YIELD_GROUP_RATE_HIGH,float64,0,0.0,312,0.04160226545210755,0.04160226545210755,Keep,Retain for cross-validated model-based feature selection
PREV_APPROVED_RATE,float64,0,0.0,349,-0.04137374344599717,0.04137374344599717,Keep,Retain for cross-validated model-based feature selection
FLOORSMAX_AVG,float64,122513,0.4980041299469936,381,-0.041370947776681155,0.041370947776681155,Keep,Retain for cross-validated model-based feature selection
FLOORSMAX_MEDI,float64,122513,0.4980041299469936,49,-0.041116826094621486,0.041116826094621486,Keep,Retain for cross-validated model-based feature selection
