feature,source,data_type,missing_count_full,missing_rate_full,unique_non_missing_full
SK_ID_CURR,application_original,int64,0,0.0,307511
TARGET,application_original,int64,0,0.0,2
NAME_CONTRACT_TYPE,application_original,str,0,0.0,2
CODE_GENDER,application_original,str,0,0.0,3
FLAG_OWN_CAR,application_original,str,0,0.0,2
FLAG_OWN_REALTY,application_original,str,0,0.0,2
CNT_CHILDREN,application_original,int64,0,0.0,15
AMT_INCOME_TOTAL,application_original,float64,0,0.0,2548
AMT_CREDIT,application_original,float64,0,0.0,5603
AMT_ANNUITY,application_original,float64,12,3.9022994299390916e-05,13672
AMT_GOODS_PRICE,application_original,float64,278,0.0009040327012692228,1002
NAME_TYPE_SUITE,application_original,str,0,0.0,8
NAME_INCOME_TYPE,application_original,str,0,0.0,8
NAME_EDUCATION_TYPE,application_original,str,0,0.0,5
NAME_FAMILY_STATUS,application_original,str,0,0.0,6
NAME_HOUSING_TYPE,application_original,str,0,0.0,6
REGION_POPULATION_RELATIVE,application_original,float64,0,0.0,81
DAYS_BIRTH,application_original,int64,0,0.0,17460
DAYS_EMPLOYED,application_original,float64,55374,0.18007160719453938,12573
DAYS_REGISTRATION,application_original,float64,0,0.0,15688
DAYS_ID_PUBLISH,application_original,int64,0,0.0,6168
FLAG_EMP_PHONE,application_original,int64,0,0.0,2
FLAG_WORK_PHONE,application_original,int64,0,0.0,2
FLAG_CONT_MOBILE,application_original,int64,0,0.0,2
FLAG_PHONE,application_original,int64,0,0.0,2
FLAG_EMAIL,application_original,int64,0,0.0,2
OCCUPATION_TYPE,application_original,str,0,0.0,19
CNT_FAM_MEMBERS,application_original,float64,2,6.503832383231819e-06,17
REGION_RATING_CLIENT,application_original,int64,0,0.0,3
REGION_RATING_CLIENT_W_CITY,application_original,int64,0,0.0,3
WEEKDAY_APPR_PROCESS_START,application_original,str,0,0.0,7
HOUR_APPR_PROCESS_START,application_original,int64,0,0.0,24
REG_REGION_NOT_LIVE_REGION,application_original,int64,0,0.0,2
REG_REGION_NOT_WORK_REGION,application_original,int64,0,0.0,2
LIVE_REGION_NOT_WORK_REGION,application_original,int64,0,0.0,2
REG_CITY_NOT_LIVE_CITY,application_original,int64,0,0.0,2
REG_CITY_NOT_WORK_CITY,application_original,int64,0,0.0,2
LIVE_CITY_NOT_WORK_CITY,application_original,int64,0,0.0,2
ORGANIZATION_TYPE,application_original,str,0,0.0,58
EXT_SOURCE_2,application_original,float64,660,0.0021462646864665006,119831
EXT_SOURCE_3,application_original,float64,60965,0.19825307062186392,814
YEARS_BEGINEXPLUATATION_AVG,application_original,float64,150007,0.48781019215572774,285
FLOORSMAX_AVG,application_original,float64,153020,0.4976082156410665,403
YEARS_BEGINEXPLUATATION_MODE,application_original,float64,150007,0.48781019215572774,221
FLOORSMAX_MODE,application_original,float64,153020,0.4976082156410665,25
YEARS_BEGINEXPLUATATION_MEDI,application_original,float64,150007,0.48781019215572774,245
FLOORSMAX_MEDI,application_original,float64,153020,0.4976082156410665,49
TOTALAREA_MODE,application_original,float64,148431,0.4826851722377411,5116
EMERGENCYSTATE_MODE,application_original,str,0,0.0,3
OBS_30_CNT_SOCIAL_CIRCLE,application_original,float64,1021,0.0033202064316398437,33
DEF_30_CNT_SOCIAL_CIRCLE,application_original,float64,1021,0.0033202064316398437,10
OBS_60_CNT_SOCIAL_CIRCLE,application_original,float64,1021,0.0033202064316398437,33
DEF_60_CNT_SOCIAL_CIRCLE,application_original,float64,1021,0.0033202064316398437,9
DAYS_LAST_PHONE_CHANGE,application_original,float64,1,3.2519161916159095e-06,3773
FLAG_DOCUMENT_3,application_original,int64,0,0.0,2
FLAG_DOCUMENT_5,application_original,int64,0,0.0,2
FLAG_DOCUMENT_6,application_original,int64,0,0.0,2
FLAG_DOCUMENT_8,application_original,int64,0,0.0,2
FLAG_DOCUMENT_9,application_original,int64,0,0.0,2
FLAG_DOCUMENT_11,application_original,int64,0,0.0,2
FLAG_DOCUMENT_13,application_original,int64,0,0.0,2
FLAG_DOCUMENT_14,application_original,int64,0,0.0,2
FLAG_DOCUMENT_15,application_original,int64,0,0.0,2
FLAG_DOCUMENT_16,application_original,int64,0,0.0,2
FLAG_DOCUMENT_18,application_original,int64,0,0.0,2
AMT_REQ_CREDIT_BUREAU_HOUR,application_original,float64,41519,0.13501630835970097,5
AMT_REQ_CREDIT_BUREAU_DAY,application_original,float64,41519,0.13501630835970097,9
AMT_REQ_CREDIT_BUREAU_WEEK,application_original,float64,41519,0.13501630835970097,9
AMT_REQ_CREDIT_BUREAU_MON,application_original,float64,41519,0.13501630835970097,24
AMT_REQ_CREDIT_BUREAU_QRT,application_original,float64,41519,0.13501630835970097,11
AMT_REQ_CREDIT_BUREAU_YEAR,application_original,float64,41519,0.13501630835970097,25
DAYS_EMPLOYED_ANOMALY,application_original,int8,0,0.0,2
EXT_SOURCE_MEAN,application_engineered,float64,172,0.0005593295849579365,300347
EXT_SOURCE_COUNT,application_engineered,int8,0,0.0,4
APPLICATION_MISSING_COUNT,application_engineered,int16,0,0.0,20
APPLICATION_MISSING_RATE,application_engineered,float64,0,0.0,20
APP_CREDIT_INCOME_RATIO,application_engineered,float64,0,0.0,48697
APP_ANNUITY_INCOME_RATIO,application_engineered,float64,12,3.9022994299390916e-05,88811
APP_CREDIT_ANNUITY_RATIO,application_engineered,float64,12,3.9022994299390916e-05,39539
APP_GOODS_CREDIT_RATIO,application_engineered,float64,278,0.0009040327012692228,3066
APP_CREDIT_GOODS_DIFFERENCE,application_engineered,float64,278,0.0009040327012692228,2911
APP_INCOME_PER_PERSON,application_engineered,float64,2,6.503832383231819e-06,3064
APP_CHILDREN_FAMILY_RATIO,application_engineered,float64,2,6.503832383231819e-06,17
APP_HAS_CHILDREN,application_engineered,int8,0,0.0,2
APP_AGE_YEARS,application_engineered,float64,0,0.0,17460
APP_EMPLOYMENT_YEARS,application_engineered,float64,55374,0.18007160719453938,12573
APP_REGISTRATION_YEARS,application_engineered,float64,0,0.0,15688
APP_ID_PUBLISH_YEARS,application_engineered,float64,0,0.0,6168
APP_PHONE_CHANGE_YEARS,application_engineered,float64,1,3.2519161916159095e-06,3773
APP_EMPLOYED_AGE_RATIO,application_engineered,float64,55374,0.18007160719453938,249434
APP_REGISTRATION_AGE_RATIO,application_engineered,float64,0,0.0,304261
APP_ID_AGE_RATIO,application_engineered,float64,0,0.0,295298
APP_EXT_2_3_MEAN,application_engineered,float64,230,0.0007479407240716592,290970
APP_EXT_2_3_MIN,application_engineered,float64,230,0.0007479407240716592,100346
APP_EXT_2_3_MAX,application_engineered,float64,230,0.0007479407240716592,86209
APP_EXT_2_3_GAP,application_engineered,float64,61395,0.19965139458425876,244367
APP_EXT_2_3_PRODUCT,application_engineered,float64,61395,0.19965139458425876,244367
APP_EXT_MEAN_SQUARED,application_engineered,float64,172,0.0005593295849579365,300347
APP_SOCIAL_OBS_TOTAL,application_engineered,float64,1021,0.0033202064316398437,60
APP_SOCIAL_DEF_TOTAL,application_engineered,float64,1021,0.0033202064316398437,15
APP_SOCIAL_DEFAULT_RATIO,application_engineered,float64,1021,0.0033202064316398437,135
APP_CREDIT_ENQUIRY_TOTAL,application_engineered,float64,41519,0.13501630835970097,30
APP_RECENT_ENQUIRY_TOTAL,application_engineered,float64,41519,0.13501630835970097,27
APP_HAS_RECENT_ENQUIRY,application_engineered,int8,0,0.0,2
APP_DOCUMENT_COUNT,application_engineered,int64,0,0.0,3
APP_CONTACT_COUNT,application_engineered,int64,0,0.0,6
APP_ADDRESS_MISMATCH_COUNT,application_engineered,int64,0,0.0,5
APP_REGION_RATING_MEAN,application_engineered,float64,0,0.0,5
APP_WEEKEND_APPLICATION,application_engineered,int8,0,0.0,2
APP_BUSINESS_HOURS_APPLICATION,application_engineered,int8,0,0.0,2
BUREAU_HISTORY_AVAILABLE,bureau,int8,0,0.0,2
BUREAU_ACCOUNT_COUNT,bureau,float64,0,0.0,61
BUREAU_ACTIVE_COUNT,bureau,float64,0,0.0,23
BUREAU_ACTIVE_RATE,bureau,float64,0,0.0,296
BUREAU_CLOSED_COUNT,bureau,float64,0,0.0,54
BUREAU_CLOSED_RATE,bureau,float64,0,0.0,304
BUREAU_OVERDUE_ACCOUNT_COUNT,bureau,float64,0,0.0,8
BUREAU_OVERDUE_ACCOUNT_RATE,bureau,float64,0,0.0,69
BUREAU_RECENT_CREDIT_COUNT,bureau,float64,0,0.0,32
BUREAU_DAYS_CREDIT_MEAN,bureau,float64,0,0.0,64556
BUREAU_DAYS_CREDIT_MIN,bureau,float64,0,0.0,2922
BUREAU_DAYS_CREDIT_MAX,bureau,float64,0,0.0,2923
BUREAU_CREDIT_AGE_YEARS_MEAN,bureau,float64,0,0.0,77282
BUREAU_CREDIT_SUM_TOTAL,bureau,float64,0,0.0,205644
BUREAU_CREDIT_SUM_MEAN,bureau,float64,1,3.2519161916159095e-06,209604
BUREAU_CREDIT_SUM_MAX,bureau,float64,1,3.2519161916159095e-06,65160
BUREAU_DEBT_TOTAL,bureau,float64,0,0.0,155004
BUREAU_DEBT_MEAN,bureau,float64,7360,0.023934103170293094,169333
BUREAU_DEBT_MAX,bureau,float64,7360,0.023934103170293094,138943
BUREAU_LIMIT_TOTAL,bureau,float64,0,0.0,37290
BUREAU_OVERDUE_TOTAL,bureau,float64,0,0.0,1218
BUREAU_OVERDUE_MAX,bureau,float64,0,0.0,1203
BUREAU_DAYS_OVERDUE_MAX,bureau,float64,0,0.0,868
BUREAU_PROLONG_TOTAL,bureau,float64,0,0.0,10
BUREAU_DEBT_CREDIT_RATIO_MEAN,bureau,float64,8614,0.028012006074579446,179602
BUREAU_DEBT_CREDIT_RATIO_MAX,bureau,float64,8614,0.028012006074579446,150737
BUREAU_OVERDUE_CREDIT_RATIO_MAX,bureau,float64,1083,0.0035218252355200303,2706
BUREAU_RECORD_MISSING_RATE_MEAN,bureau,float64,0,0.0,691
BUREAU_DEBT_ABOVE_CREDIT_COUNT,bureau,float64,0,0.0,8
BUREAU_OVERDUE_INCONSISTENCY_COUNT,bureau,float64,0,0.0,3
BUREAU_BALANCE_HISTORY_ACCOUNT_COUNT,bureau,float64,0,0.0,57
BUREAU_BALANCE_HISTORY_ACCOUNT_RATE,bureau,float64,0,0.0,48
BUREAU_MONTH_RECORD_COUNT,bureau,float64,0,0.0,1102
BUREAU_DELINQUENT_MONTH_COUNT,bureau,float64,0,0.0,162
BUREAU_DELINQUENT_RATE_MEAN,bureau,float64,0,0.0,14643
BUREAU_MAX_DELINQUENCY_LEVEL,bureau,float32,0,0.0,6
BUREAU_UNKNOWN_STATUS_RATE_MEAN,bureau,float64,0,0.0,41968
BUREAU_RECENT_12M_DELINQUENT_COUNT,bureau,float64,0,0.0,60
BUREAU_RECENT_12M_DELINQUENT_RATE_MAX,bureau,float64,0,0.0,59
BUREAU_TOTAL_DEBT_CREDIT_RATIO,bureau,float64,1083,0.0035218252355200303,184778
BUREAU_TOTAL_OVERDUE_DEBT_RATIO,bureau,float64,77049,0.2505568906478142,2995
BUREAU_CREDIT_TYPE_RATE_ANOTHER_TYPE_OF_LOAN,bureau,float64,0,0.0,38
BUREAU_CREDIT_TYPE_RATE_CAR_LOAN,bureau,float64,0,0.0,102
BUREAU_CREDIT_TYPE_RATE_CONSUMER_CREDIT,bureau,float64,0,0.0,329
BUREAU_CREDIT_TYPE_RATE_CREDIT_CARD,bureau,float64,0,0.0,295
BUREAU_CREDIT_TYPE_RATE_LOAN_FOR_BUSINESS_DEVELOPMENT,bureau,float64,0,0.0,57
BUREAU_CREDIT_TYPE_RATE_LOAN_FOR_WORKING_CAPITAL_REPLENISHMENT,bureau,float64,0,0.0,43
BUREAU_CREDIT_TYPE_RATE_MICROLOAN,bureau,float64,0,0.0,194
BUREAU_CREDIT_TYPE_RATE_MORTGAGE,bureau,float64,0,0.0,75
BUREAU_CREDIT_TYPE_RATE_OTHER_RARE_CREDIT,bureau,float64,0,0.0,23
BUREAU_CREDIT_TYPE_RATE_UNKNOWN_TYPE_OF_LOAN,bureau,float64,0,0.0,42
PREV_HISTORY_AVAILABLE,previous_application,int8,0,0.0,2
PREV_APPLICATION_COUNT,previous_application,float64,0,0.0,66
PREV_APPROVED_COUNT,previous_application,float64,0,0.0,26
PREV_APPROVED_RATE,previous_application,float64,0,0.0,362
PREV_REFUSED_COUNT,previous_application,float64,0,0.0,46
PREV_REFUSED_RATE,previous_application,float64,0,0.0,397
PREV_CANCELED_COUNT,previous_application,float64,0,0.0,39
PREV_CANCELED_RATE,previous_application,float64,0,0.0,362
PREV_UNUSED_OFFER_COUNT,previous_application,float64,0,0.0,11
PREV_RECENT_APPLICATION_COUNT,previous_application,float64,0,0.0,54
PREV_DAYS_DECISION_MEAN,previous_application,float64,0,0.0,60030
PREV_DAYS_DECISION_MIN,previous_application,float64,0,0.0,2922
PREV_DAYS_DECISION_MAX,previous_application,float64,0,0.0,2923
PREV_APPLICATION_AMOUNT_MEAN,previous_application,float64,0,0.0,191770
PREV_APPLICATION_AMOUNT_MAX,previous_application,float64,0,0.0,48662
PREV_CREDIT_AMOUNT_MEAN,previous_application,float64,0,0.0,210634
PREV_CREDIT_AMOUNT_MAX,previous_application,float64,0,0.0,58510
PREV_ANNUITY_MEAN,previous_application,float64,417,0.0013560490519038343,268978
PREV_ANNUITY_MAX,previous_application,float64,417,0.0013560490519038343,145950
PREV_GOODS_PRICE_MEAN,previous_application,float64,975,0.0031706182868255117,185849
PREV_PAYMENT_TERM_MEAN,previous_application,float64,415,0.0013495452195206026,2838
PREV_PAYMENT_TERM_MAX,previous_application,float64,415,0.0013495452195206026,43
PREV_CREDIT_APPLICATION_RATIO_MEAN,previous_application,float64,1015,0.0033006949344901483,243634
PREV_CREDIT_APPLICATION_RATIO_MAX,previous_application,float64,1015,0.0033006949344901483,103946
PREV_ANNUITY_CREDIT_RATIO_MEAN,previous_application,float64,418,0.0013593009680954503,277269
PREV_GOODS_CREDIT_RATIO_MEAN,previous_application,float64,984,0.0031998855325500552,246162
PREV_CREDIT_APPLICATION_DIFFERENCE_MEAN,previous_application,float64,0,0.0,153473
PREV_ESTIMATED_TOTAL_PAYMENT_MEAN,previous_application,float64,417,0.0013560490519038343,277686
PREV_ESTIMATED_INTEREST_MEAN,previous_application,float64,417,0.0013560490519038343,278082
PREV_INSURED_APPROVAL_RATE,previous_application,float64,1297,0.0042177353005258345,111
PREV_WEEKEND_APPLICATION_RATE,previous_application,float64,0,0.0,351
PREV_CREDIT_ABOVE_APPLICATION_RATE,previous_application,float64,0,0.0,406
PREV_ZERO_APPLICATION_RATE,previous_application,float64,0,0.0,392
PREV_RECORD_MISSING_RATE_MEAN,previous_application,float64,0,0.0,1468
PREV_APPROVED_CREDIT_TOTAL,previous_application,float64,992,0.0032259008620829826,173011
PREV_APPROVED_CREDIT_MEAN,previous_application,float64,992,0.0032259008620829826,185462
PREV_APPROVED_CREDIT_MAX,previous_application,float64,992,0.0032259008620829826,58928
PREV_APPROVED_ANNUITY_MEAN,previous_application,float64,994,0.003232404694466214,262540
PREV_APPROVED_TERM_MEAN,previous_application,float64,992,0.0032259008620829826,1342
PREV_APPROVED_DAYS_DECISION_MAX,previous_application,float64,992,0.0032259008620829826,2923
PREV_APPROVED_ESTIMATED_INTEREST_MEAN,previous_application,float64,994,0.003232404694466214,273234
PREV_CONTRACT_TYPE_RATE_CASH_LOANS,previous_application,float64,0,0.0,407
PREV_CONTRACT_TYPE_RATE_CONSUMER_LOANS,previous_application,float64,0,0.0,377
PREV_CONTRACT_TYPE_RATE_REVOLVING_LOANS,previous_application,float64,0,0.0,278
PREV_CONTRACT_TYPE_RATE_XNA,previous_application,float64,0,0.0,40
PREV_CLIENT_TYPE_RATE_NEW,previous_application,float64,0,0.0,161
PREV_CLIENT_TYPE_RATE_REFRESHED,previous_application,float64,0,0.0,168
PREV_CLIENT_TYPE_RATE_REPEATER,previous_application,float64,0,0.0,219
PREV_CLIENT_TYPE_RATE_XNA,previous_application,float64,0,0.0,77
PREV_YIELD_GROUP_RATE_XNA,previous_application,float64,0,0.0,411
PREV_YIELD_GROUP_RATE_HIGH,previous_application,float64,0,0.0,341
PREV_YIELD_GROUP_RATE_LOW_ACTION,previous_application,float64,0,0.0,230
PREV_YIELD_GROUP_RATE_LOW_NORMAL,previous_application,float64,0,0.0,326
PREV_YIELD_GROUP_RATE_MIDDLE,previous_application,float64,0,0.0,329
INST_HISTORY_AVAILABLE,installments,int8,0,0.0,2
INST_INSTALLMENT_COUNT,installments,float64,0,0.0,307
INST_PREVIOUS_LOAN_COUNT,installments,float64,0,0.0,26
INST_PAYMENT_ENTRY_COUNT,installments,float64,0,0.0,320
INST_SPLIT_PAYMENT_COUNT,installments,float64,0,0.0,66
INST_SPLIT_PAYMENT_RATE,installments,float64,0,0.0,3494
INST_LATE_COUNT,installments,float32,0,0.0,96
INST_LATE_RATE,installments,float32,8,2.6015329532927276e-05,4676
INST_SEVERELY_LATE_COUNT,installments,float32,0,0.0,44
INST_SEVERELY_LATE_RATE,installments,float32,8,2.6015329532927276e-05,922
INST_DAYS_LATE_MEAN,installments,float64,8,2.6015329532927276e-05,22626
INST_DAYS_LATE_MAX,installments,float64,8,2.6015329532927276e-05,1642
INST_DAYS_LATE_SUM,installments,float64,0,0.0,2049
INST_DAYS_EARLY_MEAN,installments,float64,8,2.6015329532927276e-05,55202
INST_DAYS_EARLY_MAX,installments,float64,8,2.6015329532927276e-05,411
INST_UNDERPAID_COUNT,installments,float32,0,0.0,9
INST_UNDERPAID_RATE,installments,float32,8,2.6015329532927276e-05,236
INST_OVERPAID_COUNT,installments,float32,0,0.0,35
INST_OVERPAID_RATE,installments,float32,8,2.6015329532927276e-05,1281
INST_ZERO_PAYMENT_COUNT,installments,float64,0,0.0,2
INST_MISSING_PAYMENT_COUNT,installments,float64,0,0.0,27
INST_MISSING_PAYMENT_RATE,installments,float64,0,0.0,324
INST_SCHEDULED_AMOUNT_TOTAL,installments,float64,0,0.0,287682
INST_PAID_AMOUNT_TOTAL,installments,float64,0,0.0,287746
INST_PAYMENT_DIFFERENCE_TOTAL,installments,float64,0,0.0,29293
INST_PAYMENT_DIFFERENCE_MEAN,installments,float64,8,2.6015329532927276e-05,37503
INST_PAYMENT_DIFFERENCE_MAX,installments,float64,8,2.6015329532927276e-05,2369
