feature,missing_count,missing_rate,unique_non_missing,pearson_target_correlation,absolute_correlation,decision,reason
INST_RECENT_12M_LATE_RATE,72189,0.29344167669344084,549,0.080787510758252,0.080787510758252,Keep,Retain for global cross-validated feature selection
INST_RECENT_12M_LATE_COUNT,72166,0.2933481837989009,41,0.07739454660306562,0.07739454660306562,Keep,Retain for global cross-validated feature selection
INST_RECENT_12M_DAYS_LATE_MAX,72189,0.29344167669344084,181,0.07245515541999026,0.07245515541999026,Keep,Retain for global cross-validated feature selection
INST_LATE_RATE,12725,0.05172596013137784,4362,0.07160483186167847,0.07160483186167847,Keep,Retain for global cross-validated feature selection
INST_SPLIT_PAYMENT_RATE,12718,0.05169750577217001,3267,0.060597885316223794,0.060597885316223794,Keep,Retain for global cross-validated feature selection
INST_RECENT_12M_UNDERPAID_COUNT,72166,0.2933481837989009,9,0.03729760892632441,0.03729760892632441,Keep,Retain for global cross-validated feature selection
INST_PREVIOUS_LOAN_COUNT,12718,0.05169750577217001,25,-0.03334292297550801,0.03334292297550801,Keep,Retain for global cross-validated feature selection
INST_SEVERELY_LATE_RATE,12725,0.05172596013137784,857,0.032332236988254874,0.032332236988254874,Keep,Retain for global cross-validated feature selection
INST_LATE_COUNT,12718,0.05169750577217001,91,0.030227742072801534,0.030227742072801534,Keep,Retain for global cross-validated feature selection
INST_DAYS_EARLY_MEAN,12725,0.05172596013137784,48687,-0.02976826219542703,0.02976826219542703,Keep,Retain for global cross-validated feature selection
INST_SPLIT_PAYMENT_COUNT,12718,0.05169750577217001,64,0.027740550275176173,0.027740550275176173,Keep,Retain for global cross-validated feature selection
INST_UNDERPAID_COUNT,12718,0.05169750577217001,9,0.027704336370605643,0.027704336370605643,Keep,Retain for global cross-validated feature selection
INST_INSTALLMENT_COUNT,12718,0.05169750577217001,303,-0.026443611036399698,0.026443611036399698,Keep,Retain for global cross-validated feature selection
INST_OVERPAID_COUNT,12718,0.05169750577217001,34,-0.026421499449554055,0.026421499449554055,Keep,Retain for global cross-validated feature selection
INST_OVERPAID_RATE,12725,0.05172596013137784,1183,-0.025211814843866386,0.025211814843866386,Keep,Retain for global cross-validated feature selection
INST_PAID_AMOUNT_TOTAL,12718,0.05169750577217001,230664,-0.02458266748242621,0.02458266748242621,Keep,Retain for global cross-validated feature selection
INST_PAYMENT_DIFFERENCE_MAX,12725,0.05172596013137784,1903,0.023492857816837426,0.023492857816837426,Keep,Retain for global cross-validated feature selection
INST_PAYMENT_RATIO_MIN,12728,0.05173815485675263,1977,-0.023325825785127076,0.023325825785127076,Keep,Retain for global cross-validated feature selection
INST_TOTAL_PAYMENT_RATIO,12721,0.051709700497544794,31791,-0.02311710788070799,0.02311710788070799,Keep,Retain for global cross-validated feature selection
INST_SCHEDULED_AMOUNT_TOTAL,12718,0.05169750577217001,230619,-0.022812911497453254,0.022812911497453254,Keep,Retain for global cross-validated feature selection
INST_RECENT_12M_UNDERPAID_RATE,72189,0.29344167669344084,73,0.02251220342302338,0.02251220342302338,Keep,Retain for global cross-validated feature selection
INST_PAYMENT_ENTRY_COUNT,12718,0.05169750577217001,316,-0.022497750834084423,0.022497750834084423,Keep,Retain for global cross-validated feature selection
INST_RECENT_12M_COUNT,72166,0.2933481837989009,88,0.0224475325030739,0.0224475325030739,Keep,Retain for global cross-validated feature selection
INST_DAYS_EARLY_MAX,12725,0.05172596013137784,395,-0.021788107937277267,0.021788107937277267,Keep,Retain for global cross-validated feature selection
INST_SEVERELY_LATE_COUNT,12718,0.05169750577217001,38,0.02041769824836139,0.02041769824836139,Keep,Retain for global cross-validated feature selection
INST_PAYMENT_DIFFERENCE_TOTAL,12718,0.05169750577217001,23625,0.020013061828122118,0.020013061828122118,Keep,Retain for global cross-validated feature selection
INST_PAYMENT_DIFFERENCE_MEAN,12725,0.05172596013137784,30609,0.018756270762790093,0.018756270762790093,Keep,Retain for global cross-validated feature selection
INST_MISSING_PAYMENT_COUNT,12718,0.05169750577217001,25,0.018641161832063834,0.018641161832063834,Keep,Retain for global cross-validated feature selection
INST_MISSING_PAYMENT_RATE,12718,0.05169750577217001,289,0.01442393631368679,0.01442393631368679,Keep,Retain for global cross-validated feature selection
INST_RECORD_MISSING_RATE_MEAN,12718,0.05169750577217001,314,0.014423936313686632,0.014423936313686632,Keep,Retain for global cross-validated feature selection
INST_UNDERPAID_RATE,12725,0.05172596013137784,221,0.01400419332633702,0.01400419332633702,Keep,Retain for global cross-validated feature selection
INST_DAYS_LATE_MEAN,12725,0.05172596013137784,19987,0.0075785524240435465,0.0075785524240435465,Keep,Retain for global cross-validated feature selection
INST_DAYS_LATE_MAX,12725,0.05172596013137784,1517,0.00421944557054754,0.00421944557054754,Keep,Retain for global cross-validated feature selection
INST_DAYS_LATE_SUM,12718,0.05169750577217001,1871,0.004181744453745658,0.004181744453745658,Keep,Retain for global cross-validated feature selection
INST_PAYMENT_RATIO_MEAN,12728,0.05173815485675263,31381,0.002582918391237405,0.002582918391237405,Keep,Retain for global cross-validated feature selection
INST_RECENT_12M_PAYMENT_RATIO_MEAN,72189,0.29344167669344084,18378,-0.0010748791755073618,0.0010748791755073618,Keep,Retain for global cross-validated feature selection
INST_ZERO_PAYMENT_COUNT,12718,0.05169750577217001,2,-0.0006180996370632013,0.0006180996370632013,Keep,Retain for global cross-validated feature selection
