feature,data_type,missing_count,missing_rate,unique_non_missing,decision,reason,target_association_stage
DAYS_ENTRY_PAYMENT,float64,2046,0.00022070076051152094,3035,Keep,Retain for applicant-level aggregation and later target-based selection,After applicant-level aggregation
AMT_PAYMENT,float64,2046,0.00022070076051152094,789553,Keep,Retain for applicant-level aggregation and later target-based selection,After applicant-level aggregation
NUM_INSTALMENT_VERSION,float64,0,0.0,55,Keep,Retain for applicant-level aggregation and later target-based selection,After applicant-level aggregation
NUM_INSTALMENT_NUMBER,int64,0,0.0,277,Keep,Retain for applicant-level aggregation and later target-based selection,After applicant-level aggregation
DAYS_INSTALMENT,float64,0,0.0,2922,Keep,Retain for applicant-level aggregation and later target-based selection,After applicant-level aggregation
AMT_INSTALMENT,float64,0,0.0,744519,Keep,Retain for applicant-level aggregation and later target-based selection,After applicant-level aggregation
INST_ZERO_PAYMENT,int8,0,0.0,2,Keep,Retain for applicant-level aggregation and later target-based selection,After applicant-level aggregation
INST_LATE_PAYMENT,int8,0,0.0,2,Keep,Retain for applicant-level aggregation and later target-based selection,After applicant-level aggregation
INST_UNDERPAYMENT,int8,0,0.0,2,Keep,Retain for applicant-level aggregation and later target-based selection,After applicant-level aggregation
INST_OVERPAYMENT,int8,0,0.0,2,Keep,Retain for applicant-level aggregation and later target-based selection,After applicant-level aggregation
INST_DATE_ANOMALY,int8,0,0.0,1,Remove,Constant among training-linked records,After applicant-level aggregation
INST_AMOUNT_ANOMALY,int8,0,0.0,1,Remove,Constant among training-linked records,After applicant-level aggregation
