feature,missing_count,missing_rate,unique_non_missing,pearson_target_correlation,absolute_correlation,decision,reason
POS_OLDEST_MONTH,0,0.0,97,0.046071110352892,0.046071110352892,Keep,Retain for global cross-validated feature selection
POS_FUTURE_INSTALLMENTS_MEAN,0,0.0,66712,0.03567034536665804,0.03567034536665804,Keep,Retain for global cross-validated feature selection
POS_DELINQUENT_MONTH_RATE,0,0.0,6133,0.03427660973101146,0.03427660973101146,Keep,Retain for global cross-validated feature selection
POS_PREVIOUS_LOAN_COUNT,0,0.0,25,-0.03367082827990978,0.03367082827990978,Keep,Retain for global cross-validated feature selection
POS_RECENT_12M_DELINQUENT_COUNT,0,0.0,20,0.03188175640076478,0.03188175640076478,Keep,Retain for global cross-validated feature selection
POS_RECENT_12M_DELINQUENT_RATE,0,0.0,409,0.030533858926561536,0.030533858926561536,Keep,Retain for global cross-validated feature selection
POS_MONTH_COUNT,0,0.0,222,-0.030506317725193684,0.030506317725193684,Keep,Retain for global cross-validated feature selection
POS_TOTAL_INSTALLMENTS_MEAN,0,0.0,44505,0.028513064444476276,0.028513064444476276,Keep,Retain for global cross-validated feature selection
POS_RECENT_12M_COMPLETION_RATIO_MEAN,0,0.0,21674,0.02588536658933269,0.02588536658933269,Keep,Retain for global cross-validated feature selection
POS_LATEST_FUTURE_INSTALLMENTS,0,0.0,748,0.02051864193869367,0.02051864193869367,Keep,Retain for global cross-validated feature selection
POS_FUTURE_INSTALLMENTS_MIN,0,0.0,61,0.019540154306937167,0.019540154306937167,Keep,Retain for global cross-validated feature selection
POS_RECORD_MISSING_RATE_MEAN,0,0.0,628,0.01839932535567683,0.01839932535567683,Keep,Retain for global cross-validated feature selection
POS_TOTAL_INSTALLMENTS_MAX,0,0.0,60,0.015174740739494975,0.015174740739494975,Keep,Retain for global cross-validated feature selection
POS_HISTORY_AVAILABLE,0,0.0,2,0.01339991600021978,0.01339991600021978,Keep,Retain for global cross-validated feature selection
POS_LATEST_TOTAL_INSTALLMENTS,0,0.0,1244,0.012204041283233125,0.012204041283233125,Keep,Retain for global cross-validated feature selection
POS_COMPLETION_RATIO_MEAN,0,0.0,66065,-0.0117542098042471,0.0117542098042471,Keep,Retain for global cross-validated feature selection
POS_DELINQUENT_MONTH_COUNT,0,0.0,103,0.011442105355078409,0.011442105355078409,Keep,Retain for global cross-validated feature selection
POS_SCHEDULE_AVAILABLE_RATE,0,0.0,616,0.01101487738621782,0.01101487738621782,Keep,Retain for global cross-validated feature selection
POS_ACTIVE_MONTH_RATE,0,0.0,32681,0.010893587019688365,0.010893587019688365,Keep,Retain for global cross-validated feature selection
POS_SCHEDULE_MISSING_COUNT,0,0.0,26,0.010800316601345459,0.010800316601345459,Keep,Retain for global cross-validated feature selection
POS_RECENT_12M_COUNT,0,0.0,51,-0.010575085878690969,0.010575085878690969,Keep,Retain for global cross-validated feature selection
POS_DPD_DEF_MAX,0,0.0,189,0.00971904338762224,0.00971904338762224,Keep,Retain for global cross-validated feature selection
POS_LATEST_DPD_DEF,0,0.0,129,0.0061556393746198795,0.0061556393746198795,Keep,Retain for global cross-validated feature selection
POS_RECENT_12M_DPD_MAX,0,0.0,732,0.006073401424539408,0.006073401424539408,Keep,Retain for global cross-validated feature selection
POS_LATEST_IS_COMPLETED,0,0.0,71,0.006005001400923552,0.006005001400923552,Keep,Retain for global cross-validated feature selection
POS_LATEST_MONTH,0,0.0,97,-0.00539946961969796,0.00539946961969796,Keep,Retain for global cross-validated feature selection
POS_ACTIVE_WITH_ZERO_FUTURE_COUNT,0,0.0,99,-0.004871891853563054,0.004871891853563054,Keep,Retain for global cross-validated feature selection
POS_SEVERE_DELINQUENT_MONTH_COUNT,0,0.0,99,0.004437513785465436,0.004437513785465436,Keep,Retain for global cross-validated feature selection
POS_LATEST_DPD,0,0.0,818,0.0043895662455508445,0.0043895662455508445,Keep,Retain for global cross-validated feature selection
POS_FUTURE_ABOVE_TOTAL_COUNT,0,0.0,11,-0.004348661069424324,0.004348661069424324,Keep,Retain for global cross-validated feature selection
POS_DPD_MAX,0,0.0,1691,0.004219549320395976,0.004219549320395976,Keep,Retain for global cross-validated feature selection
POS_LATEST_COMPLETION_RATIO,0,0.0,5421,0.0024037004369579337,0.0024037004369579337,Keep,Retain for global cross-validated feature selection
POS_COMPLETION_RATIO_MAX,0,0.0,241,0.0021649586331645727,0.0021649586331645727,Keep,Retain for global cross-validated feature selection
POS_LATEST_IS_ACTIVE,0,0.0,71,0.0020567518682929535,0.0020567518682929535,Keep,Retain for global cross-validated feature selection
POS_COMPLETED_WITH_REMAINING_COUNT,0,0.0,2,-0.0008449585298260638,0.0008449585298260638,Keep,Retain for global cross-validated feature selection
POS_COMPLETED_MONTH_RATE,0,0.0,29050,-0.00035993210915280445,0.00035993210915280445,Keep,Retain for global cross-validated feature selection
