feature,missing_count,missing_rate,unique_non_missing,pearson_target_correlation,absolute_correlation,decision,reason
PREV_REFUSED_RATE,13205,0.05367711619134337,368,0.07720146156651528,0.07720146156651528,Keep,Retain for global cross-validated feature selection
PREV_CREDIT_APPLICATION_RATIO_MEAN,14027,0.05701847094403434,195863,0.06534814466024035,0.06534814466024035,Keep,Retain for global cross-validated feature selection
PREV_REFUSED_COUNT,13205,0.05367711619134337,45,0.06329574339846228,0.06329574339846228,Keep,Retain for global cross-validated feature selection
PREV_APPROVED_RATE,13205,0.05367711619134337,349,-0.06277092275933908,0.06277092275933908,Keep,Retain for global cross-validated feature selection
PREV_DAYS_DECISION_MIN,13205,0.05367711619134337,2921,0.055290560624501287,0.055290560624501287,Keep,Retain for global cross-validated feature selection
PREV_CREDIT_APPLICATION_RATIO_MAX,14027,0.05701847094403434,86035,0.050721692985256354,0.050721692985256354,Keep,Retain for global cross-validated feature selection
PREV_GOODS_CREDIT_RATIO_MEAN,14006,0.05693310786641085,197824,-0.05025972736602245,0.05025972736602245,Keep,Retain for global cross-validated feature selection
PREV_DAYS_DECISION_MEAN,13205,0.05367711619134337,53707,0.04854496576803261,0.04854496576803261,Keep,Retain for global cross-validated feature selection
PREV_RECORD_MISSING_RATE_MEAN,13205,0.05367711619134337,1373,0.045583247122976414,0.045583247122976414,Keep,Retain for global cross-validated feature selection
PREV_APPROVED_ANNUITY_MEAN,14022,0.056998146401743034,213006,-0.043212723733974924,0.043212723733974924,Keep,Retain for global cross-validated feature selection
PREV_YIELD_GROUP_RATE_XNA,13205,0.05367711619134337,384,0.04142223782199069,0.04142223782199069,Keep,Retain for global cross-validated feature selection
PREV_YIELD_GROUP_RATE_LOW_NORMAL,13205,0.05367711619134337,308,-0.04117636226649702,0.04117636226649702,Keep,Retain for global cross-validated feature selection
PREV_YIELD_GROUP_RATE_HIGH,13205,0.05367711619134337,312,0.039786511250196444,0.039786511250196444,Keep,Retain for global cross-validated feature selection
PREV_CONTRACT_TYPE_RATE_REVOLVING_LOANS,13205,0.05367711619134337,265,0.03756316426444062,0.03756316426444062,Keep,Retain for global cross-validated feature selection
PREV_RECENT_APPLICATION_COUNT,13205,0.05367711619134337,53,0.03595018420749582,0.03595018420749582,Keep,Retain for global cross-validated feature selection
PREV_ANNUITY_MEAN,13540,0.05503886052486098,217603,-0.033437826270676284,0.033437826270676284,Keep,Retain for global cross-validated feature selection
PREV_CONTRACT_TYPE_RATE_CONSUMER_LOANS,13205,0.05367711619134337,346,-0.03193887495551012,0.03193887495551012,Keep,Retain for global cross-validated feature selection
PREV_APPROVED_COUNT,13205,0.05367711619134337,26,-0.03189557604880031,0.03189557604880031,Keep,Retain for global cross-validated feature selection
PREV_YIELD_GROUP_RATE_LOW_ACTION,13205,0.05367711619134337,219,-0.029821013652575796,0.029821013652575796,Keep,Retain for global cross-validated feature selection
PREV_PAYMENT_TERM_MAX,13538,0.05503073070794446,42,0.028125272976274655,0.028125272976274655,Keep,Retain for global cross-validated feature selection
PREV_ANNUITY_MAX,13540,0.05503886052486098,122726,-0.027993595650207332,0.027993595650207332,Keep,Retain for global cross-validated feature selection
PREV_APPROVED_CREDIT_MAX,14020,0.05699001658482651,53540,-0.027638311169151913,0.027638311169151913,Keep,Retain for global cross-validated feature selection
PREV_PAYMENT_TERM_MEAN,13538,0.05503073070794446,2631,0.027284771071834996,0.027284771071834996,Keep,Retain for global cross-validated feature selection
PREV_ANNUITY_CREDIT_RATIO_MEAN,13540,0.05503886052486098,222447,-0.027032416357467,0.027032416357467,Keep,Retain for global cross-validated feature selection
PREV_APPROVED_CREDIT_TOTAL,14020,0.05699001658482651,148423,-0.02683471323067481,0.02683471323067481,Keep,Retain for global cross-validated feature selection
PREV_CLIENT_TYPE_RATE_REFRESHED,13205,0.05367711619134337,160,-0.026422934420957788,0.026422934420957788,Keep,Retain for global cross-validated feature selection
PREV_APPROVED_CREDIT_MEAN,14020,0.05699001658482651,156280,-0.025305845454785276,0.025305845454785276,Keep,Retain for global cross-validated feature selection
PREV_ESTIMATED_INTEREST_MEAN,13540,0.05503886052486098,223532,0.02358251436668309,0.02358251436668309,Keep,Retain for global cross-validated feature selection
PREV_CREDIT_ABOVE_APPLICATION_RATE,13205,0.05367711619134337,380,0.022332351229213367,0.022332351229213367,Keep,Retain for global cross-validated feature selection
PREV_CLIENT_TYPE_RATE_NEW,13205,0.05367711619134337,155,0.021758899480898465,0.021758899480898465,Keep,Retain for global cross-validated feature selection
PREV_APPLICATION_AMOUNT_MEAN,13205,0.05367711619134337,158898,-0.02155287536236367,0.02155287536236367,Keep,Retain for global cross-validated feature selection
PREV_ZERO_APPLICATION_RATE,13205,0.05367711619134337,365,0.021139445293088463,0.021139445293088463,Keep,Retain for global cross-validated feature selection
PREV_APPLICATION_COUNT,13205,0.05367711619134337,64,0.019084829485082708,0.019084829485082708,Keep,Retain for global cross-validated feature selection
PREV_CANCELED_COUNT,13205,0.05367711619134337,39,0.018846270850238805,0.018846270850238805,Keep,Retain for global cross-validated feature selection
PREV_CREDIT_APPLICATION_DIFFERENCE_MEAN,13205,0.05367711619134337,128847,0.01744983426126072,0.01744983426126072,Keep,Retain for global cross-validated feature selection
PREV_DAYS_DECISION_MAX,13205,0.05367711619134337,2921,0.017089252363712476,0.017089252363712476,Keep,Retain for global cross-validated feature selection
PREV_YIELD_GROUP_RATE_MIDDLE,13205,0.05367711619134337,316,-0.01669427493483186,0.01669427493483186,Keep,Retain for global cross-validated feature selection
PREV_CREDIT_AMOUNT_MEAN,13205,0.05367711619134337,175052,-0.016014473812605658,0.016014473812605658,Keep,Retain for global cross-validated feature selection
PREV_GOODS_PRICE_MEAN,14002,0.0569168482325778,154413,-0.015693913699187687,0.015693913699187687,Keep,Retain for global cross-validated feature selection
PREV_CONTRACT_TYPE_RATE_CASH_LOANS,13205,0.05367711619134337,378,0.01482004088719505,0.01482004088719505,Keep,Retain for global cross-validated feature selection
PREV_WEEKEND_APPLICATION_RATE,13205,0.05367711619134337,332,-0.014408044603745177,0.014408044603745177,Keep,Retain for global cross-validated feature selection
PREV_APPLICATION_AMOUNT_MAX,13205,0.05367711619134337,42600,-0.012844893363958011,0.012844893363958011,Keep,Retain for global cross-validated feature selection
PREV_APPROVED_TERM_MEAN,14020,0.05699001658482651,1262,0.012017761835852873,0.012017761835852873,Keep,Retain for global cross-validated feature selection
PREV_CANCELED_RATE,13205,0.05367711619134337,336,0.011834868373453005,0.011834868373453005,Keep,Retain for global cross-validated feature selection
PREV_CONTRACT_TYPE_RATE_XNA,13205,0.05367711619134337,38,0.010695527353603268,0.010695527353603268,Keep,Retain for global cross-validated feature selection
PREV_APPROVED_ESTIMATED_INTEREST_MEAN,14022,0.056998146401743034,219953,0.009634462456209717,0.009634462456209717,Keep,Retain for global cross-validated feature selection
PREV_CREDIT_AMOUNT_MAX,13205,0.05367711619134337,52847,-0.0085672714318357,0.0085672714318357,Keep,Retain for global cross-validated feature selection
PREV_APPROVED_DAYS_DECISION_MAX,14020,0.05699001658482651,2921,0.005371246499557177,0.005371246499557177,Keep,Retain for global cross-validated feature selection
PREV_CLIENT_TYPE_RATE_REPEATER,13205,0.05367711619134337,212,-0.005278610488904225,0.005278610488904225,Keep,Retain for global cross-validated feature selection
PREV_ESTIMATED_TOTAL_PAYMENT_MEAN,13540,0.05503886052486098,223250,0.004734855434947659,0.004734855434947659,Keep,Retain for global cross-validated feature selection
