threshold,selected_threshold,predicted_default_count,predicted_default_rate,true_positive,false_positive,true_negative,false_negative,accuracy,precision,recall,f1_score,specificity
0.05,False,28626,0.4654407102092581,4162,24464,32074,803,0.589174511812432,0.1453923007056522,0.8382678751258812,0.2478044714358012,0.5672998691145779
0.08,False,18976,0.3085377949043136,3567,15409,41129,1398,0.7267287774580102,0.1879742833052276,0.718429003021148,0.2979825404118458,0.7274576391099792
0.1,False,15014,0.2441181730972473,3209,11805,44733,1756,0.7795066907305335,0.2137338484081524,0.6463242698892245,0.3212372991641223,0.7912023771622626
0.12,False,12078,0.1963806643578362,2869,9209,47329,2096,0.816187828236021,0.2375393277032621,0.5778449144008057,0.3366778149386845,0.8371183982454279
0.14,False,9886,0.1607401264978944,2568,7318,49220,2397,0.8420402256800481,0.2597612785757637,0.5172205438066465,0.345835297286378,0.8705649297817397
0.16,False,8157,0.1326276766986976,2282,5875,50663,2683,0.8608523161471798,0.279759715581709,0.4596173212487411,0.3478128334095412,0.8960875871095546
0.1619911460573037,True,7990,0.1299123619986017,2256,5734,50804,2709,0.8627221436352698,0.2823529411764706,0.454380664652568,0.3482825164029333,0.8985814850189253
0.18,False,6814,0.1107913435116986,2038,4776,51762,2927,0.8747540770368926,0.2990901085999413,0.4104733131923464,0.3460395619322523,0.9155258410272736
0.2,False,5734,0.0932312244931141,1810,3924,52614,3155,0.8848999235809635,0.3156609696546913,0.364551863041289,0.3383493784465837,0.9305953517987902
0.25,False,3691,0.0600133326829585,1329,2362,54176,3636,0.9024763019690096,0.3600650230289894,0.2676737160120846,0.3070702402957486,0.9582227882132373
0.3,False,2438,0.0396403427475082,984,1454,55084,3981,0.9116303269759198,0.4036095159967186,0.1981873111782477,0.2658381737133595,0.9742827832608156
0.4,False,1024,0.0166495943287319,502,522,56016,4463,0.9189470432336634,0.490234375,0.1011077542799597,0.167640674570045,0.9907672715695638
0.5,False,418,0.0067964164349706,237,181,56357,4728,0.920182755312749,0.5669856459330144,0.0477341389728096,0.0880549879249489,0.9967986133220136
0.7,False,34,0.0005528185616961,25,9,56529,4940,0.9195323805342828,0.7352941176470589,0.0050352467270896,0.01000200040008,0.9998408150270616
0.8,False,6,9.755621676991366e-05,6,0,56538,4959,0.9193697868396664,1.0,0.0012084592145015,0.0024140012070006,1.0
