feature,consensus_importance,xgboost_rank,lightgbm_rank,catboost_rank,mean_rank
EXT_SOURCE_MEAN,0.0828682131338057,1.0,1.0,2.0,1.3333333333333333
APP_EXT_MEAN_SQUARED,0.0277953298565138,12.0,4.0,1.0,5.666666666666667
APP_CREDIT_ANNUITY_RATIO,0.0264201494585613,2.0,2.0,3.0,2.3333333333333335
BUREAU_DEBT_CREDIT_RATIO_MAX,0.0239882305173619,3.0,3.0,5.0,3.6666666666666665
AMT_ANNUITY,0.0212957313358179,4.0,6.0,4.0,4.666666666666667
NAME_EDUCATION_TYPE,0.0196948699051147,6.0,7.0,7.0,6.666666666666667
APP_CREDIT_GOODS_DIFFERENCE,0.0195873862225238,5.0,5.0,8.0,6.0
POS_LATEST_FUTURE_INSTALLMENTS,0.0156957891190837,8.0,8.0,14.0,10.0
POS_FUTURE_INSTALLMENTS_MEAN,0.0154776707560333,9.0,11.0,9.0,9.666666666666666
INST_PAID_AMOUNT_TOTAL,0.0143567955957155,7.0,12.0,18.0,12.333333333333334
DAYS_EMPLOYED,0.0142713683268377,26.0,26.0,6.0,19.333333333333332
PREV_CREDIT_APPLICATION_RATIO_MEAN,0.0139677172988565,11.0,9.0,16.0,12.0
OCCUPATION_TYPE,0.0132722730594503,15.0,15.0,10.0,13.333333333333334
INST_RECENT_12M_LATE_RATE,0.0126402663053995,10.0,10.0,28.0,16.0
INST_LATE_RATE,0.0124466338231188,25.0,17.0,11.0,17.666666666666668
PREV_YIELD_GROUP_RATE_HIGH,0.0120089291277309,19.0,19.0,13.0,17.0
ORGANIZATION_TYPE,0.0119206843845041,14.0,13.0,20.0,15.666666666666666
APP_GOODS_CREDIT_RATIO,0.0119092135418493,28.0,20.0,12.0,20.0
EXT_SOURCE_COUNT,0.0118294706463382,13.0,14.0,23.0,16.666666666666668
PREV_REFUSED_RATE,0.0117647883292986,17.0,22.0,15.0,18.0
